emp_no,emp_title_id,birth_date,first_name,last_name,sex,hire_date
473302,s0001,7/25/53,Hideyuki,Zallocco,M,4/28/90
475053,e0002,11/18/54,Byong,Delgrande,F,9/7/91
57444,e0002,1/30/58,Berry,Babb,F,3/21/92
421786,s0001,9/28/57,Xiong,Verhoeff,M,11/26/87
282238,e0003,10/28/52,Abdelkader,Baumann,F,1/18/91
263976,e0003,10/30/59,Eran,Cusworth,M,11/14/86
273487,s0001,4/14/57,Christoph,Parfitt,M,6/28/91
461591,s0002,11/17/64,Xudong,Samarati,M,11/13/85
477657,e0002,12/18/62,Lihong,Magliocco,M,10/23/93
219881,s0002,4/24/56,Kwangyoen,Speek,F,2/14/93
29920,e0002,12/31/61,Shuichi,Tyugu,F,1/17/95
208153,e0003,10/25/61,Abdulah,Lunn,M,4/8/89
13616,e0003,8/30/61,Perry,Lorho,F,8/3/91
246449,s0001,3/23/58,Subbu,Bultermann,F,3/25/88
21529,e0002,5/19/59,Bojan,Zallocco,M,10/14/86
17934,e0004,7/12/63,Bilhanan,Wuwongse,M,10/6/93
48085,s0001,1/19/64,Venkatesan,Gilg,M,6/28/93
239838,e0002,12/11/57,Naftali,Dulli,M,6/6/93
240129,e0004,8/11/52,Roddy,Karnin,M,5/29/85
205246,s0002,11/25/58,Nevio,Demizu,F,5/18/86
476443,s0001,8/27/52,Ziya,Asmuth,M,8/24/95
424270,s0001,1/15/63,Kellyn,Yoshizawa,F,5/8/95
71530,e0003,2/9/59,Venkatesan,McAlpine,M,3/31/89
427958,s0001,5/3/57,Feixiong,Poujol,F,5/11/85
280408,s0001,9/19/64,Elliott,Perl,M,10/29/87
104639,e0003,6/19/60,Theron,Escriba,F,9/14/99
214555,e0003,10/8/60,Nechama,Copas,F,10/27/87
229010,s0001,11/12/61,Mark,Cappelli,M,5/7/90
35916,e0003,8/15/53,Wonhee,Talmon,F,3/20/85
61583,e0003,6/4/57,Ziva,Vecchi,M,7/3/86
67799,e0002,10/17/61,Pantung,Cools,M,1/28/94
37061,s0001,6/25/64,Piyawadee,Herbst,F,4/12/90
411412,e0003,1/11/53,Hairong,Schaar,M,12/24/87
422587,e0003,7/3/54,Mohit,Speek,F,1/14/86
35270,e0004,1/2/53,Masali,Bakhtari,M,2/5/91
105597,s0002,8/14/56,Christfried,Kabayashi,M,5/11/87
244689,s0001,4/13/56,Urs,Saoudi,M,9/2/91
48885,e0003,8/28/58,Phuoc,Antonisse,M,2/18/93
244492,e0003,5/22/58,Shaunak,Pettit,M,7/19/94
215615,e0002,2/13/57,Bader,Chinal,F,1/8/90
95280,e0003,2/14/60,Owen,Hiraishi,F,8/7/85
37473,s0001,3/6/52,Prasadram,Valette,M,2/16/94
43471,e0002,1/10/64,Mechthild,Gihr,F,5/10/95
289261,s0001,2/4/58,Gad,Nollmann,M,10/1/85
26941,e0003,12/2/63,Shigeu,Masamoto,M,8/27/89
465253,e0003,8/6/57,Gladys,Yoshimura,F,7/23/90
444985,s0001,1/20/56,Giap,Verspoor,F,3/17/90
299898,s0001,2/15/64,Munehiko,Janocha,M,12/11/88
